epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,7045.47,1.43879,1.3227,1.86557,0.88298,0.79946,0.89343,0.45334,1.64444,1.02136,2.1533,0.0010595,0.0010595,0.0010595
59,7166.65,1.42347,1.28925,1.85272,0.90121,0.80759,0.88764,0.48558,1.56244,1.00953,2.05247,0.001043,0.001043,0.001043
60,7291.52,1.41252,1.3058,1.83701,0.86612,0.78591,0.85095,0.44962,1.64345,1.04381,2.18218,0.0010265,0.0010265,0.0010265
61,7415.32,1.41464,1.27849,1.83473,0.83319,0.82572,0.87053,0.45845,1.61737,1.05148,2.14034,0.00101,0.00101,0.00101
62,7537.45,1.4037,1.28432,1.84334,0.90878,0.76152,0.88463,0.4439,1.73451,1.02067,2.28977,0.0009935,0.0009935,0.0009935
63,7659.02,1.41509,1.27143,1.83502,0.91635,0.75339,0.88051,0.4817,1.60547,1.02259,2.11618,0.000977,0.000977,0.000977
64,7780.27,1.42044,1.27142,1.83831,0.89821,0.84282,0.91764,0.48595,1.60629,0.93633,2.11913,0.0009605,0.0009605,0.0009605
65,7900.95,1.38925,1.22607,1.8237,0.90302,0.83272,0.90727,0.4713,1.61478,0.9341,2.1237,0.000944,0.000944,0.000944
66,8021.95,1.38095,1.21854,1.78071,0.87747,0.83469,0.90161,0.43572,1.76536,0.95795,2.37131,0.0009275,0.0009275,0.0009275
67,8143.08,1.36668,1.20794,1.79964,0.89037,0.75068,0.87465,0.43674,1.73373,1.00214,2.30603,0.000911,0.000911,0.000911
68,8266.22,1.4213,1.23041,1.84513,0.85531,0.79946,0.876,0.45667,1.67832,0.98177,2.20257,0.0008945,0.0008945,0.0008945
69,8389.36,1.40916,1.19993,1.82842,0.91957,0.80488,0.90179,0.47082,1.64003,0.97098,2.15455,0.000878,0.000878,0.000878
70,8510.39,1.38409,1.17084,1.8013,0.94709,0.78591,0.89414,0.48446,1.59646,0.97029,2.1565,0.0008615,0.0008615,0.0008615
71,8634.48,1.37562,1.22711,1.81456,0.91556,0.85095,0.91785,0.48858,1.54758,0.91989,2.11065,0.000845,0.000845,0.000845
72,8758.78,1.38705,1.23484,1.82038,0.90957,0.81771,0.90994,0.47428,1.5769,0.94728,2.1077,0.0008285,0.0008285,0.0008285
73,8881.91,1.36524,1.1943,1.78887,0.89715,0.87534,0.92813,0.47862,1.63097,0.86895,2.15613,0.000812,0.000812,0.000812
74,9002.53,1.37577,1.19002,1.78686,0.91537,0.85007,0.92088,0.48996,1.54744,0.89207,2.09197,0.0007955,0.0007955,0.0007955
75,9123.99,1.33505,1.13908,1.7591,0.92297,0.84282,0.9186,0.48753,1.58406,0.90446,2.11331,0.000779,0.000779,0.000779
76,9246.62,1.3591,1.16861,1.78688,0.91138,0.8361,0.91638,0.47897,1.6453,0.93685,2.21857,0.0007625,0.0007625,0.0007625
77,9367.8,1.34116,1.1467,1.76955,0.96235,0.83129,0.93073,0.48215,1.64279,0.90346,2.20332,0.000746,0.000746,0.000746
78,9489.18,1.32674,1.13432,1.75734,0.94103,0.86492,0.92394,0.48924,1.60289,0.88282,2.09948,0.0007295,0.0007295,0.0007295
79,9611.56,1.35769,1.14743,1.76958,0.94759,0.86179,0.92589,0.49801,1.57682,0.84334,2.10084,0.000713,0.000713,0.000713
80,9734.66,1.34354,1.14327,1.77559,0.89253,0.87263,0.92381,0.48729,1.58845,0.89151,2.18919,0.0006965,0.0006965,0.0006965
81,9855.06,1.34638,1.12364,1.75874,0.95503,0.86329,0.93032,0.49397,1.55473,0.85314,2.08162,0.00068,0.00068,0.00068
82,9974.5,1.33712,1.10491,1.76058,0.9361,0.87336,0.9318,0.51323,1.50774,0.82105,2.02784,0.0006635,0.0006635,0.0006635
83,10094.8,1.34553,1.11319,1.75547,0.91747,0.84354,0.92683,0.50833,1.52739,0.83135,2.05171,0.000647,0.000647,0.000647
84,10220.3,1.34093,1.09781,1.7667,0.95071,0.84011,0.941,0.51573,1.50827,0.81493,2.07183,0.0006305,0.0006305,0.0006305
85,10345.7,1.32663,1.10878,1.76266,0.94878,0.85342,0.93165,0.52692,1.49014,0.8054,2.01004,0.000614,0.000614,0.000614
86,10464.7,1.32637,1.10116,1.74502,0.94675,0.83469,0.93012,0.5062,1.54021,0.85237,2.04822,0.0005975,0.0005975,0.0005975
87,10585.3,1.32143,1.11942,1.73851,0.94141,0.8374,0.92225,0.50817,1.54408,0.88531,2.0698,0.000581,0.000581,0.000581
88,10709,1.33229,1.09667,1.74676,0.95282,0.85637,0.93612,0.51248,1.52392,0.83643,2.08164,0.0005645,0.0005645,0.0005645
